,學校,地區,等級,間/進,總計,,,因傷病,,因經濟困難,,因學業成績不佳,,因志趣不合,,因工作需求,,因懷孕,因育嬰,,因兵役,,因出國,,因論文撰寫,,因適應不良,,因家人傷病,,因考試訓練,,因逾期未註冊、繳費、選課,,其他,,
,,,四技,,155,108,47,5,4,12,5,20,7,23,14,15,7, -,1, -,10, -,3,1, -, -,13,7,3, -, -,1,3,1, -, -,技職
,,,四技,修,13,9,4, -, -,1,1, -, -,3, -,4,2, -, -, -, -, -, -, -, -, -,1,1, -, -, -, -, -, -, -, -,技職
,,,二技,,10,3,7, -, -, -,1,1,3, -,1, -,2, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -,技職
24,國立屏東科技大學,屏東縣,博士,,53,33,20,3,1, -, -,4,4, -, -,9,5, -,3,2,1, -, -, -,8,3,2,4,3, -, -, -, -, -, -,1,技職
,,,碩士,,200,109,91,4,6,6, -,3,4,2,1,37,35, -, -,1,1, -, -, -,6,9,27,19,12,11,8,4,1, -,2,1,技職
,,,碩士,職,52,31,21,1, -, -, -, -, -, -, -,21,11,1,1,3, -, -, -, -,2, -,5,3,1,3, -, -, -, -, -, -,技職
,,,四技,,220,133,87,10,15,4,5,12,9,27,25,13,2,1,1,5, -, -, -,2, -, -,35,12,21,8,7,2,2,1,1, -,技職
,,,四技,修,82,50,32,4,4,1,2,1,1, -,1,21,7, -, -, -,5, -, -, -, -, -,10,10,5,3,2,1,1,3, -, -,技職
25,國立臺北科技大學,臺北市,博士,,166,123,43,7,3,3,1,1, -,2, -,63,17,1,5,5,1, -,13,4,23,10, -, -,5,1, -, -, -,1, -, -,技職
,,,碩士,,232,153,79,15,11,14,6,3, -,19,5,42,27,1, -,5,15, -,18,12,13,6,5,1,6,2,3,3, -, -, -, -,技職
,,,碩士,職,196,139,57,2,3, -, -, -, -, -, -,118,39,3,10,6, -, -, -, -,4,1, -, -,4,4, -, -, -, -,1,1,技職
,,,四技,,143,90,53,10,4, -,5,13,2,27,16,8,13, -, -, -,6, -,9,9, -, -,5,1,2, -,7,1,3,2, -, -,技職
