,學校,地區,等級,間/進,總計,,,因傷病,,因經濟困難,,因學業成績不佳,,因志趣不合,,因工作需求,,因懷孕,因育嬰,,因兵役,,因出國,,因論文撰寫,,因適應不良,,因家人傷病,,因考試訓練,,因逾期未註冊、繳費、選課,,其他,,
,,,五專,,13,11,2,1, -, -, -, -, -, -,1,4,1, -, -, -, -, -, -, -, -, -,2, -, -, -,2, -, -, -,2, -,技職
1024,崑山科技大學,臺南市,博士,,7,7, -,1, -, -, -, -, -, -, -,4, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -,1, -, -, -,技職
,,,碩士,,96,67,29,2,1,2, -,5,1, -, -,30,13,1, -, -,6, -, -, -,4,2, -, -,1,1, -, -,17,10, -, -,技職
,,,碩士,職,29,23,6, -, -, -, -, -, -, -, -,4,1, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -,18,5, -, -,技職
,,,四技,,889,642,247,20,18,29,17,52,2,95,47,174,64,2, -, -,71,2,11,2, -, -,2,2,10,11, -, -,178,80, -, -,技職
,,,四技,修,529,349,180,3,6,6,5,2,2,10,7,43,20, -, -,2,14, -, -, -, -, -,3,2, -,3, -, -,268,133, -, -,技職
,,,二技,修,27,16,11, -,1, -, -, -, -, -, -,3, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,13,10, -, -,技職
,,,二專,修,9,9, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,8, -, -, -,技職
1025,嘉南藥理大學,臺南市,碩士,,45,27,18, -, -,1, -, -, -, -,1,5,4, -, -, -,2, -, -, -, -, -,1, -, -, -,1, -,2,4,15,9,技職
,,,碩士,職,64,28,36,1,4, -,1, -, -, -, -,9,12,2, -, -, -, -, -, -, -,9, -, -, -,1, -, -,8, -,10,7,技職
,,,四技,,522,245,277,12,30,20,32,2,6,21,31,20,25,2, -, -,21, -,2, -, -, -,4,9,1,4,1,1,68,46,73,91,技職
,,,四技,修,291,186,105,1,3,7,9,2, -,2,5,49,25,1,2, -,19, -,1, -, -, -, -, -, -,1, -, -,53,28,50,33,技職
,,,二技,,3,2,1, -, -, -, -, -, -,1,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -,技職
,,,二技,修,56,16,40, -,1, -,2, -, -, -,1,6,17,2, -, -,1, -, -, -, -, -, -, -,1,3, -, -,4,2,4,12,技職
1026,樹德科技大學,高雄市,博士,,8,2,6, -,1, -, -, -, -, -, -,1,2, -, -,1, -, -, -, -,1,2, -, -, -, -, -, -, -, -, -, -,技職
,,,碩士,,27,9,18, -,3,1,5,3, -,2, -,3,1, -, -,1, -, -, -, -, -,4, -, -, -, -, -, -, -,3, -,1,技職
,,,碩士,職,52,18,34, -,3,2,2,1,1, -, -,6,6, -,2,4, -, -, -, -,5,11, -, -,1,4, -, -,1,3, -, -,技職
,,,四技,,272,144,128,12,19,37,37,15,4,18,21,32,20,1,1,3,10,1,3,2, -,1,3,1,2,5, -, -,8,10,3,3,技職
,,,四技,修,53,34,19,3,2,6,4,1,1,5,1,10,9, -,1, -,2, -, -, -, -, -,2, -, -, -, -, -,4,2, -, -,技職
,,,二技,修,22,9,13, -,3,3,4,2, -, -, -,2,5,1, -, -,1, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -,技職
,,,二專,修,17,3,14, -, -,1,3,1, -, -,2, -,6, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -,3, -, -,技職
1027,慈濟大學,花蓮縣,博士,,23,16,7,1, -, -, -, -, -, -, -,2, -, -, -, -,1, -, -, -,5,5,1, -,2, -, -, -, -, -,4,2,一般
,,,碩士,,86,30,56, -,1,1,2, -, -, -,1,6,5,1,1,3, -, -,1, -,11,26,2, -, -,2, -, -, -, -,8,15,一般
,,,碩士,職,5,1,4, -, -, -, -, -, -, -, -, -,1, -, -,1, -, -, -, -, -,1, -, -, -, -, -, -, -, -,1,1,一般
,,,學士,,98,35,63,3,8, -,2,6, -,15,17, -,1,1, -,1,1, -,1,3, -, -, -,3,1,1,1, -,1, -,6,26,一般
1028,臺北醫學大學,臺北市,博士,,65,25,40,1,4,2, -, -, -,1, -,7,13, -,2,3, -, -,1, -,7,13,1, -,2,6, -, -, -, -,1,1,一般
,,,碩士,,94,36,58,2,1,3,1, -, -, -,2,15,9,1,1,6, -, -,1,2,2,10,1,1,6,15, -,2, -, -,5,8,一般
,,,碩士,職,73,17,56, -,4,1,1, -, -, -, -,6,16,2,1,3, -, -, -, -,7,20,1, -,1,8, -, -, -, -, -,2,一般
,,,學士,,239,111,128,4,5,1,1,2, -,79,90,9,3,1, -,3, -, -,3,9, -, -,1,6,4,8,3, -, -, -,5,2,一般
,,,4+X,, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,一般
1029,中山醫學大學,臺中市,博士,,29,18,11,6, -, -, -, -, -, -, -,4,6, -, -, -, -, -, -, -,7,5,1, -, -, -, -, -, -, -, -, -,一般
,,,碩士,,97,25,72,2, -, -,4, -,1,2,1,10,18,1, -,8, -, -, -,2,5,30,1,3,2,2, -,1, -, -,3,1,一般
,,,碩士,職,53,7,46, -,1, -, -, -, -,1, -,6,19, -, -,3, -, -, -, -, -,20, -, -, -,3, -, -, -, -, -, -,一般
,,,學士,,257,106,151,3,11,1,4,5,1,63,98,8,4,1, -, -,1, -,12,12, -, -,8,9,1,5,3,3, -, -,1,3,一般
,,,二技,修,7,4,3, -, -, -,1, -, -, -, -,4, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1,技職
1030,龍華科技大學,桃園市,碩士,,45,35,10, -,1,6, -,5,3,3,2,15,2,1, -, -,1, -, -, -,3, -, -, -,1, -, -, -, -, -,1,1,技職
,,,碩士,職,5,4,1,1, -, -, -, -, -, -, -,3,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,四技,,254,190,64,6,5,20,11,20,6,44,12,21,9,3, -, -,17, -,2, -, -, -,6,4,5, -, -, -, -, -,49,14,技職
,,,四技,修,174,139,35,6,2,13,3,9,1,16,7,68,16,1, -, -,11, -,2, -, -, -, -, -,2,1,1, -,2,2,9,2,技職
,,,五專,,28,24,4,1,2,1, -,4, -,8,2,3, -, -, -, -,1, -, -, -, -, -, -, -,1, -, -, -, -, -,5, -,技職
1031,輔英科技大學,高雄市,碩士,,59,20,39,1,3,4, -, -,1, -,8,10,9, -, -,3,2, -, -, -,1,11, -, -,1,2,1, -, -, -, -,2,技職
,,,碩士,職,22, -,22, -,4, -, -, -,1, -,1, -,7, -, -, -, -, -, -, -, -,9, -, -, -, -, -, -, -, -, -, -,技職
,,,四技,,286,135,151,7,14,20,35,11,11,44,38,27,11,4, -,2,17, -,2,1, -, -,1,1,2,6,1,1, -,1,3,26,技職
,,,四技,修,60,44,16,1,3,5,3,1, -,2,5,32,4, -, -, -, -, -, -, -, -, -, -, -, -, -,1,1,2, -, -, -,技職
,,,二技,,54,9,45, -,8,2,6, -, -, -,12,4,6,2, -, -,1, -, -,1, -, -, -, -, -, -, -,9,2,1, -, -,技職
,,,二技,修,89,19,70,1,6,1,3, -, -,3,20,12,27,3, -,2, -,1, -,1, -, -, -, -,1,1,1,5, -,1, -, -,技職
,,,五專,,88,19,69, -,12, -,3,3,6,14,44, -, -, -, -, -,1, -, -, -, -, -, -,1, -, -,1,3, -, -, -, -,技職
1032,明新科技大學,新竹縣,碩士,,43,26,17,1, -,1,2,1, -, -, -,5,4,1, -, -,1, -, -, -,11,5, -, -,3,1, -,1,3,2, -,1,技職
,,,碩士,職,64,44,20, -,2, -, -, -, -, -, -,20,12,1, -, -,1, -, -, -, -, -, -, -,5,3, -, -,18,2, -, -,技職
,,,四技,,444,298,146,7,11,10,14,27,6,36,26,46,25,8, -,1,44,1,1,2, -, -,11,4,9,8,7,1,83,27,17,12,技職
,,,四技,修,192,126,66,3, -,5,2, -,1,3,1,54,34,2, -,2,15, -, -,1, -, -,1, -, -,2, -, -,43,20,2,1,技職
,,,二技,修,32,16,16, -,2, -,1, -, -, -,4,9,6,1, -, -,1, -, -, -, -, -, -, -,1, -, -, -,5,2, -, -,技職
,,,二專,,1,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -,技職
,,,二專,修,32,21,11, -,2, -, -, -, -,2, -,4,2, -, -, -,3,1, -, -, -, -, -, -,1, -, -, -,11,6, -, -,技職
1033,長榮大學,臺南市,博士,,7,4,3, -, -, -, -, -, -, -, -,2,1,1,1, -,1, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -,一般
,,,碩士,,45,22,23, -,3, -,2, -, -, -,1,6,4, -, -,4,3, -,1, -,7,7,5, -, -, -, -, -, -,2, -, -,一般
,,,碩士,職,12,6,6,1, -, -,1, -, -, -, -,5,3, -, -,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,一般
,,,學士,,243,128,115,5,14,9,8, -, -,31,35,24,13,3, -, -,6, -,3,4,1, -,29,24,6,4,7,7,7,3, -, -,一般
,,,學士,進,17,10,7,1,2,1,1, -, -,1,2,5, -, -, -, -,2, -, -, -, -, -, -,1, -, -, -,1, -, -, -, -,一般
1034,弘光科技大學,臺中市,博士,,3, -,3, -,1, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -,技職
,,,碩士,,56,12,44, -,4, -,3, -, -,2,3,6,20, -, -,6, -, -, -, -,2,6, -, -,1,1, -, -, -, -,1,1,技職
,,,碩士,職,35,10,25,2,1,1,2, -, -, -, -,6,7,2, -,6,1, -, -, -, -,4, -, -, -,2, -, -, -, -, -,1,技職
,,,四技,,346,142,204,7,31,16,30,7,7,47,55,37,37,5, -,7,7, -,3,3, -, -,6,11,1,6,3,2,2,3,6,7,技職
,,,四技,修,352,152,200,7,18,18,28,4,3,21,32,70,72,10,1,9,16, -,1, -, -, -,2,11,2,5, -,1,6,2,4,9,技職
,,,二技,,17, -,17, -,1, -,3, -, -, -,4, -,2,1, -,2, -, -, -, -, -, -, -, -, -,1, -,1, -, -, -,2,技職
,,,二技,修,53,4,49,1,6, -,3, -, -, -,4,3,23, -, -,1, -, -, -,2, -, -, -,4, -, -, -, -, -, -, -,6,技職
,,,二專,修,30,6,24, -,3,1,5, -, -, -,1,3,12, -, -,1,1, -, -, -, -, -, -, -, -, -, -, -,1,1, -,1,技職
,,,五專,,4, -,4, -, -, -, -, -, -, -,2, -, -, -, -, -, -, -, -,1, -, -, -,1, -, -, -, -, -, -, -, -,技職
1035,中國醫藥大學,臺中市,博士,,89,50,39,1, -, -, -, -, -, -,1,11,9, -,4,4, -, -,3,1,8,7, -, -,6,3, -,1,2, -,15,13,一般
,,,碩士,,118,41,77, -,5,1,6, -, -, -,6,6,10,4,2,8, -, -,2, -,3,7, -,2,3,2,2, -,7,2,15,25,一般
,,,碩士,職,28,6,22, -,1, -, -, -, -, -, -,1,3,1, -,3, -, -, -, -, -,7, -, -,3,1, -, -,1,2,1,4,一般
,,,學士,,230,94,136,2,7,2,6, -, -,21,33,2,3,1, -, -,1, -,4,11, -, -,3,4,6,6,6,3,1,3,46,59,一般
1036,健行科技大學,桃園市,碩士,,26,19,7,2,1,3, -, -, -,1, -,9,3, -, -,1,2, -, -, -,1, -, -,1,1,1, -, -, -, -, -, -,技職
,,,碩士,職,1,1, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,四技,,235,165,70,8,4,10,13,18,8,37,16,32,15,1, -,1,47, -, -, -, -, -,1,2,8,4,1,2,1, -,2,4,技職
,,,四技,修,411,260,151,10,10,30,14,8,3,25,18,142,84,7,3,3,22, -, -,2, -, -,1, -,16,10, -, -,3, -, -, -,技職
,,,二技,,1,1, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,二技,修,18,6,12,1, -,1, -, -, -, -,1,4,6,2, -, -, -, -, -, -, -, -, -, -, -,3, -, -, -, -, -, -,技職
,,,五專,, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
1037,正修科技大學,高雄市,博士,,1,1, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,碩士,,65,34,31, -,2,4, -, -, -, -, -,7,11, -, -, -,1, -, -, -,7,5,2, -, -,4,1, -,12,9, -, -,技職
,,,碩士,職,39,26,13,2,1,1, -,1, -, -, -,6,2, -, -, -, -, -, -, -,15,8, -, -, -, -, -, -, -, -,1,2,技職
,,,四技,,545,333,212,16,19,33,39,1, -,73,49,69,36,2, -,1,36,1,3,3, -, -,14,10,4,7,10,2,73,41,1,2,技職
,,,四技,修,653,410,243,10,12,12,15,47,33,49,26,160,92,8,1,1,22,1,5,3, -, -,5,7,1,1, -, -, -, -,98,44,技職
,,,二技,, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,二技,修,131,69,62,3,6,1,6,12,11,3,2,39,26, -, -,2, -, -,1, -, -, -, -, -, -,4, -, -, -, -,10,5,技職
,,,二專,修,209,130,79,4,3,4,2,61,35,7,4,32,24,1, -,1,6, -,1,2, -, -, -,2,1,2, -, -, -, -,14,3,技職
,,,五專,,21,16,5,1,3,1, -,1, -,9,2,1, -, -, -, -,1, -, -, -, -, -,2, -, -, -, -, -, -, -, -, -,技職
1038,萬能科技大學,桃園市,碩士,,12,7,5,1,1,1,1, -, -, -, -,1,1, -, -, -,3, -, -, -,1,1, -, -, -,1, -, -, -, -, -, -,技職
,,,碩士,職,5,3,2, -, -, -, -, -, -, -, -,2,1, -, -, -, -, -, -, -, -, -, -, -,1,1, -, -, -, -, -, -,技職
,,,四技,,393,201,192,13,17,67,67,7,2,37,34,50,37,5, -,1,15, -, -,5, -, -,5,15,5,6,2,3, -, -, -, -,技職
,,,四技,修,90,55,35,2,1,10,16, -, -,1, -,31,17, -, -, -,8, -, -, -, -, -,1, -,1, -,1, -, -,1, -, -,技職
,,,二技,修,6,3,3, -, -, -, -, -,1, -,1,3,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,二專,修,1, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -,技職
1039,玄奘大學,新竹市,博士,, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,一般
,,,碩士,,111,37,74, -,1,4,10, -,1,1, -,12,28,2,2,1, -, -, -, -,8,16,1, -, -,5,1,1,2,1,6,8,一般
,,,碩士,職,46,15,31, -,1,1,2, -, -, -, -,3,15, -, -,1, -, -, -, -,2,8, -, -,1,2, -, -,2, -,6,2,一般
,,,學士,,153,62,91,7,6,10,14,3,11,7,10,12,18, -, -, -,5, -, -,3, -, -,1,2,1, -,1,1,7,12,8,14,一般
,,,學士,進,8,4,4, -, -, -, -, -, -, -, -,1,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,2,1,1,1,一般
1040,建國科技大學,彰化縣,碩士,,11,8,3, -, -,1, -,1, -,1, -,4,2, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1,技職
,,,四技,,100,73,27, -,8,11,7,2,1,18,1,20,3, -,2, -,7, -, -, -, -, -,2,1,7,1, -, -,4,1, -,4,技職
,,,四技,修,75,49,26,1,2,3,2,2, -, -, -,26,13,2, -,1,9, -, -, -, -, -,5,5,2,1,1, -, -, -, -, -,技職
,,,二技,修,3,2,1, -,1, -, -, -, -, -, -,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,二專,修,5,4,1,1, -, -, -, -, -, -, -,3,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
1041,明志科技大學,新北市,碩士,,27,20,7, -,1,4, -, -, -,2, -,6,5, -, -, -,5, -, -, -,1,1, -, -,2, -, -, -, -, -, -, -,技職
,,,碩士,職,5,5, -,1, -, -, -, -, -, -, -,3, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -,技職
,,,四技,,86,69,17,5,1,6,2,5,3,33,4,11,5, -, -, -,5,1,1,1, -, -,2, -, -, -, -, -,1, -, -, -,技職
,,,四技,修,15,13,2,2, -,1,2, -, -,4, -,6, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
1042,高苑科技大學,高雄市,碩士,,14,9,5, -, -,4, -, -, -, -, -,4,3, -, -, -, -, -, -, -, -, -, -, -,1,1, -, -, -,1, -, -,技職
,,,碩士,職,36,21,15, -, -,1, -, -, -,1,1,19,13, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -,技職
,,,四技,,24,19,5,2,1,1, -,1, -,1, -,9,2, -, -, -, -, -, -, -, -, -, -, -,1,2, -, -,3, -,1, -,技職
,,,四技,修,75,48,27,1, -,1, -, -, -,1,1,36,23,1, -, -,7, -, -, -, -, -, -, -,2,2, -, -, -, -, -, -,技職
,,,二技,修,24,13,11, -, -, -, -, -, -, -, -,13,11, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,二專,修,21,12,9, -, -, -, -, -, -, -, -,12,9, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
1043,大仁科技大學,屏東縣,碩士,,44,20,24,1,6, -,1, -, -,2, -,3,10, -, -, -,1, -, -, -,3,1, -, -,1, -,1, -,6,4,2,2,技職
,,,碩士,職,15,8,7, -,1, -, -, -, -, -, -,2,2, -, -, -, -, -, -, -,6,3, -, -, -,1, -, -, -, -, -, -,技職
,,,四技,,563,330,233,9,9,33,24,8, -,29,33,24,12,3, -,1,17, -,4,3, -, -,4,4,1,7,16,6,104,73,81,58,技職
,,,四技,修,29,25,4,1,1,1, -, -, -,1, -,9,2, -, -, -,5, -, -, -, -, -, -, -, -,1, -, -,8, -, -, -,技職
,,,二技,,1, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1,技職
,,,二技,修,50,15,35,1,5,1,2, -, -, -, -,8,16, -, -,2,2, -, -, -, -, -, -,1,2,5, -,2,1,2, -, -,技職
,,,二專,修,8,4,4, -, -, -,1, -, -, -, -,2,1, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -,2,1, -, -,技職
1044,聖約翰科技大學,新北市,碩士,,23,18,5,1, -, -, -, -, -, -, -,5,1, -, -, -,2, -, -, -,7,1,1, -, -, -, -, -, -,1,2,2,技職
,,,碩士,職,29,24,5,1, -,1, -, -, -, -, -,12,2, -, -, -, -, -, -, -,8,2, -, -, -, -,1, -, -,1,1, -,技職
,,,四技,,91,71,20, -,1,2,2,12,2,6,2,24,8,1,1, -,17, -, -, -, -, -,1,1,1, -, -,1,4, -,3,2,技職
,,,四技,修,20,17,3,1, -, -, -, -, -,1, -,12,1, -, -,1,2, -, -, -, -, -, -, -,1,1, -, -, -, -, -, -,技職
,,,二技,修,4,2,2, -,1, -, -, -, -, -,1,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,二專,修,2, -,2, -, -, -, -, -, -, -, -, -,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,五專,,16,13,3, -, -,1, -,1,1,3, -,4,1, -, -, -,1, -, -,1, -, -, -, -,2, -, -, -, -, -,1, -,技職
1045,嶺東科技大學,臺中市,碩士,,52,19,33, -,3,3,5, -, -, -,1,8,9,2, -, -,3, -, -, -,2,10, -, -,2,1,1, -, -, -, -,2,技職
,,,碩士,職,25,17,8,1, -, -, -, -, -, -, -,14,8, -, -, -, -, -,1, -, -, -, -, -,1, -, -, -, -, -, -, -,技職
,,,四技,,185,62,123,3,10,7,33,2,6,25,42,5,14,1, -,1,11, -,1,4, -, -,2,1,1,8,5,3, -, -, -, -,技職
,,,四技,修,220,117,103,2,8,8,12,2,2,7,5,68,62,1, -,2,22,1, -,1, -, -,2,4,5,3, -, -, -, -,1,2,技職
1046,中國科技大學,臺北市,碩士,,49,32,17,1,3, -, -, -, -, -,1,18,6, -,2, -, -, -,1,2,9,2, -, -, -,1, -, -, -, -,1,2,技職
,,,碩士,職,27,23,4, -, -,2, -, -, -, -, -,19,3, -, -, -, -, -, -, -,2, -, -, -, -, -, -, -, -, -, -,1,技職
,,,四技,,268,138,130,6,13,10,16,5, -,27,34,38,27,1, -,1,24, -,5,4, -, -,11,15,2,3, -, -, -, -,10,16,技職
,,,四技,修,110,69,41,2,2,2,3,1, -,3,5,42,20,1,1,1,6, -,3,2,1, -,3,1,3,1,1, -,1, -, -,5,技職
,,,二技,修,47,27,20,1,1, -, -, -, -, -,1,22,14,1, -,1,1, -, -, -, -, -,1,1,1,1, -, -, -, -,1, -,技職
,,,二專,修,70,44,26,2, -,1,1, -,2,2,3,31,16, -, -,1,4, -, -,1, -, -, -,1,2,1,1, -, -, -,1, -,技職
1047,中臺科技大學,臺中市,博士,,4,3,1,1, -, -, -, -, -, -, -,1,1, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,碩士,,27,10,17, -,4,1, -, -, -, -, -,5,6, -, -, -,2, -, -, -,1,2, -, -, -,2, -,2,1,1, -, -,技職
,,,碩士,職,77,22,55,2,4, -,2, -, -, -,1,6,9, -,1,11, -, -,1, -,3,14, -, -, -,4, -, -,9,9, -,1,技職
,,,四技,,353,155,198,4,8,5,22,13,8,40,61,11,20,3, -,6,13,1, -,1, -, -,2,7,3,4,3,2,61,55, -, -,技職
,,,四技,修,365,144,221,1,9,3,12,9,4,12,15,26,29,1,1,22,6, -, -, -, -, -,1,8,2,11, -, -,82,106,1,4,技職
,,,二技,,20,5,15,1, -,1, -, -, -, -,5,2,4, -, -,1, -, -, -, -, -, -, -,1, -,1,1,3, -, -, -, -,技職
,,,二技,修,110,19,91,1,7,2,2,1, -,3,8,5,25,2, -,14, -, -, -, -, -, -, -,4,1,5,1, -,5,24, -, -,技職
1048,亞洲大學,臺中市,博士,,40,26,14,3, -,1, -, -,1, -,1,6,4,1, -, -, -, -,1, -,10,3, -, -,2,2, -, -, -, -,3,2,一般
,,,碩士,,119,41,78,4,6,2,2,1,1,2,3,9,27, -,1, -,1, -, -,3,14,21, -, -, -,7,1, -, -,2,6,6,一般
,,,碩士,職,59,30,29, -,3,1,1, -, -, -, -,19,11, -, -, -, -, -, -, -,7,8, -, -,2,5, -, -, -,1,1, -,一般
,,,學士,,281,112,169,7,51,3,5,10,9,33,47,13,14,1, -,1,10, -,8,9,1, -,6,13,16,13,1,3,3,3,1, -,一般
,,,學士,進,43,13,30,1,3, -,3, -,3,2,7,4,11, -, -, -,1, -, -, -, -, -,1, -,1,1, -,1,2,1,1, -,一般
1049,開南大學,桃園市,碩士,,58,24,34,3,3,3,2,1,1, -,1,9,17, -, -,3,4, -, -, -,2,2, -,1, -,1,1,1, -, -,1,2,一般
,,,碩士,職,47,29,18,1,1,1, -,1, -, -, -,20,12,1,2, -,1, -, -, -,1,3, -, -, -, -,1, -, -, -,1,1,一般
,,,學士,,183,94,89,4,16,11,13,12, -,24,21,25,15,4, -,2,7, -,2,4, -, -, -, -,2,3, -,1, -, -,7,10,一般
,,,學士,進,89,56,33,2,5,1,6, -, -,4,2,36,15, -, -,4,12, -, -, -, -, -, -,1, -, -, -, -, -, -,1, -,一般
1050,佛光大學,宜蘭縣,博士,,15,5,10,2, -, -, -, -, -, -, -,1,3, -, -, -, -, -, -, -,1,6, -, -,1,1, -, -, -, -, -, -,一般
,,,碩士,,117,51,66,2,6,2, -,2,1,1, -,20,15,3, -,1, -, -,1,3,15,24,1,3,3,9,1, -, -, -,3,1,一般
,,,碩士,職,20,15,5, -,1, -, -, -, -,1, -,9, -, -,1, -, -, -, -, -,2,3, -, -,2,1, -, -, -, -, -, -,一般
,,,學士,,127,69,58,5,10,1,3,7,2,22,15,14,13, -, -, -,3, -,1,3, -, -,7,7,6,3,1, -, -, -,2,2,一般
1051,台南應用科技大學,臺南市,碩士,,28,11,17,1,1,1, -,2, -,1,1,2,10,1, -,1,1, -,1, -, -, -,1,1, -,2, -, -, -, -,1, -,技職
,,,碩士,職,23,5,18, -, -, -, -, -, -,1,2,4,12,2, -, -, -, -, -,1, -,1, -, -, -, -, -, -, -, -, -, -,技職
,,,四技,,496,182,314,11,42,21,34,13,17,50,85,31,38,4, -,2,7, -,2,7, -, -,14,17,23,51, -, -, -, -,10,17,技職
,,,四技,修,262,98,164,1,14,5,9,2, -,6,18,79,120,1, -,1,4, -, -, -, -, -,1,1, -, -, -, -, -, -, -, -,技職
,,,二技,,17,4,13, -,2,1,2, -, -, -,2, -,4, -, -, -,1, -,1,1, -, -,1,1, -,1, -, -, -, -, -, -,技職
,,,二技,修,11,2,9, -, -, -,2, -, -, -,1,2,5,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,五專,,71,18,53,2,13, -,1,2,7,3,8,3,6, -, -, -, -, -,3,3, -, -,2,4,1,9, -, -, -, -,2,2,技職
1052,遠東科技大學,臺南市,碩士,,36,20,16,1, -, -, -, -, -,1, -,13,7,2, -, -,1, -,1,1,2,2, -, -,1,1, -, -, -, -, -,3,技職
,,,碩士,職,3,3, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -,1, -, -, -,1, -, -, -, -, -, -, -,技職
,,,四技,,229,149,80,4,7,15,12,24,2,22,15,30,27,1,1,1,27, -, -,1, -, -,8,4,2,2,3, -,1, -,12,8,技職
,,,四技,修,58,47,11, -, -, -, -, -, -,4,1,38,8,1, -, -,5,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,二技,修,15,10,5, -, -, -, -, -, -, -,1,10,3, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,二專,修,44,32,12, -,1, -, -, -, -, -, -,31,9,1, -, -,1, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -,技職
1053,元培醫事科技大學,新竹市,碩士,,56,26,30,2,1, -,1,8,8, -, -,10,14,2, -, -,3, -, -, -, -, -, -,2,3,2, -, -, -, -, -, -,技職
,,,碩士,職,8,1,7, -, -, -, -, -,1, -, -,1,6, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,四技,,97,55,42,10,9,3,2,12,3,9,10,7,4,1, -, -,8,1,1, -, -, -,1,7,4,4, -, -, -, -, -,1,技職
,,,四技,修,63,33,30,2,5, -, -,3,6,2,2,21,15, -, -, -,5, -, -, -, -, -, -,2, -, -, -, -, -, -, -, -,技職
,,,二技,修,14, -,14, -,3, -, -, -, -, -,1, -,9, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -,技職
1054,景文科技大學,新北市,碩士,,9,7,2, -, -, -, -, -, -, -, -,2, -,1, -, -, -, -, -, -,5,1, -, -, -, -, -, -, -, -, -, -,技職
,,,碩士,職,9,7,2, -, -,1, -, -, -, -, -,3,1, -, -,1,1, -, -, -,1, -, -, -,1, -, -, -, -, -, -, -,技職
,,,四技,,212,113,99,5,8,22,15,5,6,33,21,23,28, -, -,4,19, -,2,9, -, -, -,2,4,4, -,2, -, -, -, -,技職
